Source Name,Media Type,Count
Reuters,Global Media,40
BBC News,Global Media,40
The Guardian,Global Media,35
The New York Times,Global Media,17
CNN,Global Media,12
The Washington Post,Global Media,18
Al Jazeera,Global Media,11
Associated Press,Global Media,19
NBC News,Global Media,9
CBS News,Global Media,6
Financial Times,Global Media,4
NPR,Global Media,5
The Wall Street Journal,Global Media,4
Time Magazine,Global Media,4
Amnesty International,NGO / Policy / Advocacy,3
CNBC,Global Media,3
France 24,Global Media,3
Institute for the Study of War,NGO / Policy / Advocacy,3
Los Angeles Times,Global Media,3
Newsweek,Global Media,3
The Huffington Post,Global Media,3
The Independent,Global Media,3
USA Today,Global Media,3
Bloomberg,Global Media,3
CBC News,Global Media,2
Fox News,Global Media,2
NATO,Official,2
OHCHR,Organization/Foundation,3
Politico,Global Media,2
The Hill,Global Media,2
The Times of Israel,Global Media,3
UN News Centre,Organization/Foundation,3
Der Spiegel,Global Media,1
Forbes,Global Media,3
Gallup,Organization/Foundation,1
Haaretz,Global Media,1
Human Rights Watch,NGO / Policy / Advocacy,1
Interfax-Ukraine,Global Media,5
International Criminal Court,Organization/Foundation,1
Le Monde,Global Media,1
NPR,Global Media,1
Reuters,Global Media,1
Sky News,Global Media,1
The Atlantic,Global Media,1
The Christian Science Monitor,Global Media,1
The Economic Times,Global Media,1
The Nation,Global Media,1
The New Yorker,Global Media,1
The Sydney Morning Herald,Global Media,1
VOA,Global Media,1
The White House,Official,1
Washington Examiner,Global Media,1
Zee News,Global Media,1
WNEP,Global Media,1
AFP (Agence France Presse),Global Media,1
ABC News,Global Media,1
ABC News Australia,Global Media,2
New York Daily News,Global Media,1
Philadelphia Inquirer,Global Media,1
Pittsburgh Post-Gazette,Global Media,1
The Seattle Times,Global Media,1
Vanity Fair,Global Media,1
The Moscow Times,Global Media,13
Kyiv Post,Global Media,7
Radio Free Europe/Radio Liberty,Global Media,7
Interfax-Ukraine,Global Media,1
Russian News Agency,Global Media,2
Euronews,Global Media,3
The Globe and Mail,Global Media,3
Axios,Global Media,3
Business Insider,Global Media,2
The Daily Beast,Global Media,2
Kyiv Independent,Global Media,3
UNIAN,Global Media,2
N-tv,Global Media,2
Arab News,Global Media,1
Bellingcat,Organization/Foundation,1
Berliner Zeitung,Global Media,1
Daily Sabah,Global Media,1
Euractiv,Global Media,1
Fortune,Global Media,1
Gulf Times,Global Media,1
Hindustan News Hub,Global Media,1
Irish Times,Global Media,1
The Jerusalem Post,Global Media,1
Meduza,Global Media,1
MSN News,Global Media,1
Nevada Current,Global Media,1
RBC-Ukraine,Global Media,1
Radio Free Asia,Global Media,1
Rolling Stone,Global Media,1
Rossiyskaya Gazeta,Global Media,1
Slate,Global Media,1
Supreme Court of Ukraine,Official,1
United Nations / UNAMI,Organization/Foundation,4
UNHCR,Organization/Foundation,1
European Parliament,Official,1
President of Russia,Official,2
European Court of Human Rights,Official,2
Wilson Center,NGO / Policy / Advocacy,1
Wilson Center,NGO / Policy / Advocacy,1
Chatham House,NGO / Policy / Advocacy,3
Atlantic Council,NGO / Policy / Advocacy,6
Chicago Council on Global Affairs,NGO / Policy / Advocacy,2
European Council on Foreign Relations,NGO / Policy / Advocacy,2
International Republican Institute,NGO / Policy / Advocacy,1
Razumkov Centre,NGO / Policy / Advocacy,1
UN Security Council,NGO / Policy / Advocacy,1
The Soufan Center,NGO / Policy / Advocacy,1
Kyiv International Institute of Sociology,NGO / Policy / Advocacy,1
Journal of Democracy,Academic / Journals / Books,1
Europe-Asia Studies,Academic / Journals / Books,2
Strategic Studies Institute (SSI),Academic / Journals / Books,1
Oxford University Press,Academic / Journals / Books,1
Johns Hopkins University,Academic / Journals / Books,1
LSE Public Policy Review,Academic / Journals / Books,1
Southeast European and Black Sea Studies,Academic / Journals / Books,1
